"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type"
"1415558370540","33.4253333","-116.4","12.675","0.57","""ml""","13","141","0.1001","0.26","""ci""","id168","1457715994933","""19km N of Borrego Springs, CA""","earthquake"
"1415558033590","34.1896667","-117.2775","7.89","0.88","""ml""","21","73","0.009597","0.12","""ci""","id169","1457696137424","""6km S of Crestline, CA""","earthquake"
"1415557907750","34.4678333","-117.9605","8.054","0.98","""ml""","22","64","0.01931","0.15","""ci""","id170","1457757042555","""6km SSE of Littlerock, CA""","earthquake"
"1415555830720","38.8225","-122.8433333","2.08","1.47","""md""","50","36","0.006306","0.05","""nc""","id173","1486263864650","""9km WNW of The Geysers, California""","earthquake"
"1415555147380","38.8246667","-122.7786667","1.549","1.06","""md""","27","45","0.009009","0.03","""nc""","id175","1486263854630","""4km W of Cobb, California""","earthquake"
"1415555052040","37.473","-118.7861667","3.898","1.84","""md""","34","158","0.1225","0.11","""nc""","id176","1486263846189","""25km SE of Mammoth Lakes, California""","earthquake"
"1415555044190","37.4725","-118.7826667","5.588","1.48","""md""","42","73","0.1198","0.05","""nc""","id177","1486263838840","""25km SE of Mammoth Lakes, California""","earthquake"
"1415555033060","38.8170013","-122.8133316","2.488","0.53","""md""","5","124","0.01712","0.01","""nc""","id178","1486263830797","""Northern California""","earthquake"
"1415554957880","37.473","-118.7816667","5.498","2.02","""md""","43","123","0.1189","0.05","""nc""","id179","1486263824350","""23km ESE of Mammoth Lakes, California""","earthquake"
"1415554721780","36.6656667","-121.2888333","5.526","2.22","""md""","58","40","0.05856","0.04","""nc""","id180","1486263814620","""17km SSE of Ridgemark, California""","earthquake"
"1415554330570","40.5575","-111.2801667","7.34","1.01","""md""","9","80","0.07021","0.08","""uu""","id183","1415656427880","""5km S of Francis, Utah""","earthquake"
"1415554154240","34.2763333","-116.8688333","9.653","0.82","""ml""","21","110","0.04522","0.15","""ci""","id184","1457763711871","""3km NW of Big Bear City, CA""","earthquake"
"1415552120940","38.7423333","-122.7025","2.154","0.27","""md""","14","178","0.007207","0.09","""nc""","id188","1486263806456","""6km SE of The Geysers, California""","earthquake"
"1415551782210","38.8018341","-122.7746658","2.543","1.08","""md""","12","222","0.02613","0.27","""nc""","id189","1486263801258","""3km NNW of The Geysers, California""","earthquake"
"1415548793070","35.3991667","-118.6413333","10.243","1.27","""ml""","16","111","0.1482","0.14","""ci""","id196","1457670328072","""25km SSW of Bodfish, CA""","earthquake"
"1415548427710","36.0325","-117.782","0.608","0.04","""ml""","11","71","0.0154","0.13","""ci""","id197","1457676890526","""15km E of Coso Junction, CA""","earthquake"
"1415547350004","41.8815","-119.6245","0.0247","1.11","""ml""","3","320.2","0.506","0.0018","""nn""","id200","1420238245809","""68km ESE of Lakeview, Oregon""","earthquake"
"1415546818120","46.8571667","-121.7548333","1.782","0.21","""md""","9","101","0.02063","0.06","""uw""","id202","1469216462690","""28km NNW of Packwood, Washington""","earthquake"
"1415546564304","41.9017","-119.6171","0","3.06","""ml""","4","145.73","0.511","0.1116","""nn""","id203","1426811976734","""68km ESE of Lakeview, Oregon""","earthquake"
"1415546104340","37.6353333","-118.888","6.199","-0.02","""md""","9","121","0.01171","0.04","""nc""","id204","1486263796329","""Long Valley area, California""","earthquake"
"1415545872370","37.6326667","-118.8828333","5.729","1.44","""md""","33","83","0.01622","0.06","""nc""","id205","1486263790060","""8km ESE of Mammoth Lakes, California""","earthquake"
"1415545620101","41.9296","-119.624","0","1.68","""ml""","3","316.42","0.506","0.0323","""nn""","id206","1420237657916","""66km ESE of Lakeview, Oregon""","earthquake"
"1415545153293","41.9839","-120.2611","4.9794","1.82","""ml""","4","157.78","0.087","0.0008","""nn""","id207","1420237101481","""23km SSE of Lakeview, Oregon""","earthquake"
"1415544703100","38.8100014","-122.8133316","1.976","1.03","""md""","19","50","0.01351","0.03","""nc""","id208","1486263782557","""6km NW of The Geysers, California""","earthquake"
